	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
871.582031	-10.49	-14.67	0.99
873.046875	-10.52	-14.70	0.99
874.511719	-10.56	-14.72	1.00
875.976563	-10.59	-14.71	1.00
877.441406	-10.63	-14.70	0.99
878.906250	-10.66	-14.67	0.98
880.371094	-10.69	-14.63	0.99
881.835938	-10.72	-14.59	1.00
883.300781	-10.75	-14.54	1.00
884.765625	-10.78	-14.50	0.99
886.230469	-10.81	-14.44	0.99
887.695313	-10.84	-14.37	0.99
889.160156	-10.87	-14.30	0.98
890.625000	-10.90	-14.20	0.99
892.089844	-10.92	-14.08	0.99
893.554688	-10.95	-13.95	0.87
895.019531	-10.97	-13.79	0.89
896.484375	-10.99	-13.63	0.86
897.949219	-11.00	-13.48	0.95
899.414063	-11.01	-13.35	0.94
900.878906	-11.02	-13.24	0.95
902.343750	-11.03	-13.16	0.91
903.808594	-11.04	-13.08	0.98
905.273438	-11.05	-12.99	0.98
906.738281	-11.06	-12.90	0.98
908.203125	-11.07	-12.80	0.98
909.667969	-11.08	-12.70	1.00
911.132813	-11.09	-12.60	0.99
912.597656	-11.10	-12.49	0.99
914.062500	-11.11	-12.36	1.00
915.527344	-11.12	-12.20	0.97
916.992188	-11.13	-12.03	0.97
918.457031	-11.14	-11.84	0.95
919.921875	-11.13	-11.65	0.98
921.386719	-11.12	-11.46	0.98
922.851563	-11.10	-11.28	0.95
924.316406	-11.08	-11.11	0.99
925.781250	-11.06	-10.96	0.99
927.246094	-11.03	-10.83	0.99
928.710938	-11.01	-10.71	0.99
930.175781	-10.98	-10.59	0.99
931.640625	-10.96	-10.48	1.00
933.105469	-10.93	-10.38	0.99
934.570313	-10.89	-10.28	0.99
936.035156	-10.86	-10.20	1.00
937.500000	-10.82	-10.14	0.99
938.964844	-10.79	-10.09	1.00
940.429688	-10.75	-10.06	0.98
941.894531	-10.71	-10.06	0.99
943.359375	-10.67	-10.09	1.00
944.824219	-10.64	-10.15	1.00
946.289063	-10.61	-10.22	0.99
947.753906	-10.58	-10.31	1.00
949.218750	-10.55	-10.40	1.00
950.683594	-10.52	-10.50	1.00
952.148438	-10.50	-10.61	0.98
953.613281	-10.48	-10.72	0.99
955.078125	-10.46	-10.81	0.98
956.542969	-10.45	-10.88	0.99
958.007813	-10.43	-10.92	0.99
959.472656	-10.41	-10.94	1.00
960.937500	-10.40	-10.94	0.97
962.402344	-10.38	-10.92	0.61
963.867188	-10.35	-10.89	0.74
965.332031	-10.32	-10.87	0.89
966.796875	-10.28	-10.89	0.97
968.261719	-10.25	-10.93	0.99
