	NT2000-50-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
786.621094	-1.65	32.14	1.00
788.085938	-1.65	32.24	1.00
789.550781	-1.64	32.34	1.00
791.015625	-1.64	32.44	1.00
792.480469	-1.63	32.52	1.00
793.945313	-1.63	32.59	1.00
795.410156	-1.62	32.66	1.00
796.875000	-1.62	32.72	1.00
798.339844	-1.61	32.78	1.00
799.804688	-1.61	32.83	1.00
801.269531	-1.60	32.88	1.00
802.734375	-1.60	32.94	1.00
804.199219	-1.60	33.00	1.00
805.664063	-1.59	33.06	1.00
807.128906	-1.59	33.13	1.00
808.593750	-1.59	33.20	1.00
810.058594	-1.58	33.27	1.00
811.523438	-1.57	33.34	1.00
812.988281	-1.57	33.40	1.00
814.453125	-1.56	33.46	1.00
815.917969	-1.55	33.51	1.00
817.382813	-1.54	33.55	1.00
818.847656	-1.53	33.58	1.00
820.312500	-1.52	33.60	1.00
821.777344	-1.52	33.60	1.00
823.242188	-1.52	33.60	0.99
824.707031	-1.52	33.61	1.00
826.171875	-1.52	33.64	1.00
827.636719	-1.52	33.67	1.00
829.101563	-1.52	33.71	1.00
830.566406	-1.52	33.75	1.00
832.031250	-1.52	33.79	1.00
833.496094	-1.52	33.84	1.00
834.960938	-1.52	33.88	1.00
836.425781	-1.51	33.93	1.00
837.890625	-1.51	33.98	1.00
839.355469	-1.51	34.03	1.00
840.820313	-1.50	34.07	1.00
842.285156	-1.50	34.10	1.00
843.750000	-1.49	34.13	1.00
845.214844	-1.49	34.15	1.00
846.679688	-1.49	34.17	1.00
848.144531	-1.48	34.20	1.00
849.609375	-1.48	34.23	1.00
851.074219	-1.48	34.27	1.00
852.539063	-1.48	34.31	1.00
854.003906	-1.47	34.34	1.00
855.468750	-1.47	34.38	1.00
856.933594	-1.47	34.41	1.00
858.398438	-1.46	34.44	1.00
859.863281	-1.46	34.47	1.00
861.328125	-1.46	34.51	1.00
862.792969	-1.46	34.54	1.00
864.257813	-1.45	34.58	1.00
865.722656	-1.45	34.61	1.00
867.187500	-1.44	34.64	1.00
868.652344	-1.44	34.67	1.00
870.117188	-1.43	34.68	1.00
871.582031	-1.43	34.68	0.99
873.046875	-1.42	34.66	0.99
874.511719	-1.42	34.63	1.00
875.976563	-1.42	34.60	1.00
877.441406	-1.42	34.58	1.00
878.906250	-1.42	34.57	1.00
880.371094	-1.43	34.56	1.00
881.835938	-1.43	34.56	1.00
883.300781	-1.43	34.56	1.00
884.765625	-1.44	34.58	1.00
886.230469	-1.44	34.59	1.00
